cod_tab_preco,nom_tab_preco,ind_ajuste,perc_ajuste,ind_tab_padrao,perc_urgencia,cod_unid_oper,cod_unid_negoc,ind_situacao,cod_tab_desc_progres,ind_aceita_bonus,ind_plano_saude,cod_produto,dat_vigencia,vlr_produto,vlr_prod_urg,vlr_cus_prod,vlr_cus_medio,perc_mrg_lucro,vlr_desc_comis,vlr_desc_apoio,vlr_prod_complementar,vlr_ultima_compra
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11941,2021-02-03,43.57,43.57,43.57,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9510,2021-02-03,10.0,10.0,3.75,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11953,2021-02-03,9.65,9.65,9.652,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11197,2021-02-03,4.0,4.0,2.99,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,5392,2021-02-03,1.0,1.0,0.69,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4404,2021-02-03,6.0,6.0,5.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,8757,2021-02-03,0.01,0.01,0.01,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,9536,2021-02-03,2.0,2.0,0.73,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,1276,2021-02-03,304.0,304.0,253.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11970,2021-02-03,70.0,70.0,70.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11971,2021-02-03,240.0,240.0,200.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11515,2021-02-03,120.0,120.0,73.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11466,2021-02-03,240.0,240.0,130.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11580,2021-02-03,42.0,42.0,16.155,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11654,2021-02-03,0.0,0.0,0.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11574,2021-02-03,132.0,132.0,39.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11355,2021-02-03,240.0,240.0,135.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4164,2021-02-03,114.0,114.0,47.5,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11972,2021-02-03,0.0,0.0,0.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11680,2021-02-03,264.0,264.0,35.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11682,2021-02-03,72.0,72.0,35.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,8839,2021-02-03,120.0,120.0,90.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11513,2021-02-03,300.0,300.0,195.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,3996,2021-02-03,360.0,360.0,100.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11473,2021-02-03,96.0,96.0,52.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,5441,2021-02-03,2.0,2.0,1.62,,,0.0,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11315,2021-02-03,100.0,100.0,100.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11283,2021-02-03,2040.0,2040.0,1300.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11282,2021-02-03,2280.0,2280.0,1400.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11122,2021-02-03,1080.0,1080.0,600.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4069,2021-02-03,3420.0,3420.0,1900.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11416,2021-02-03,3000.0,3000.0,1500.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4065,2021-02-03,1176.0,1176.0,780.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4061,2021-02-03,1440.0,1440.0,940.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4062,2021-02-03,2352.0,2352.0,1400.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11947,2021-02-03,2160.0,2160.0,1170.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11948,2021-02-03,2850.0,2850.0,1543.75,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11407,2021-02-03,720.0,720.0,500.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11284,2021-02-03,1920.0,1920.0,1200.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11281,2021-02-03,2640.0,2640.0,1500.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,3999,2021-02-03,2028.0,2028.0,1300.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11554,2021-02-03,96.0,96.0,70.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11411,2021-02-03,3042.0,3042.0,1950.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4341,2021-02-03,10.0,10.0,7.3,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11973,2021-02-03,64.0,64.0,35.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11929,2021-02-03,4.0,4.0,1.95,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,488,2021-02-03,180.0,180.0,90.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11975,2021-02-03,360.0,360.0,300.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11958,2021-02-03,300.0,300.0,162.5,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11976,2021-02-03,96.0,96.0,50.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11977,2021-02-03,96.0,96.0,50.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11979,2021-02-03,180.0,180.0,150.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,7739,2021-02-03,18.0,18.0,10.0,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11974,2021-02-03,5.0,5.0,4.0,,,,,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,4702,2021-02-03,3.0,3.0,1.39,,,0.0,0.0,,
1,PADRAO,N,300.0,S,0.0,1,26,A,,N,N,11980,2021-02-03,360.0,360.0,250.0,,,,,,
