cod_especie,nom_especie,nom_popular,nom_familia,cod_especie_imp,num_hematocrito_esp,nom_ingles,ind_especie,cod_raca,nom_raca,ind_ani_silvestre,ind_porte,cod_pelagem,tip_pelagem
1,CANINA,CANINA,CANINA,,,CANINE,OU,257,BICHON HAVANÊS,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,192,BIRMANES,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,125,BLOOD HOUND,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,136,BLUE HEELER,N,,,
7,CAPRINA,CAPRINA,,,,CAPRINE,OU,220,BOERBOEL,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,81,BORDER COLLIE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,238,BORDER TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,209,BORZOI,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,116,BOSTON TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,189,BOUVIER DES FLANDRES,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,5,BOXER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,103,BRACO ALEMÃO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,292,BRACO ESLOVACO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,117,BRACO ITALIANO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,406,BRASILEIRA,N,M,418.0,C
5,EQUINA,EQUINA,,,,EQUINE,OU,68,BRASILEIRO DE HIPISMO,N,,,
4,EQUINO DE TRAÇÃO ,EQUINO DE TRAÇÃO ,,,,EQUINE,OU,66,BRETÃO,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,105,BRITISH BLUE,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,150,BRITISH SHORT HAIR,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,118,BULL MASTIFF,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,77,BULL TERRIER,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,130,BULLDOG,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,111,BULLDOG AMERICANO,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,409,BULLDOG CAMPELO,N,G,,C
1,CANINA,CANINA,CANINA,,,CANINE,OU,94,BULLDOG FRANCÊS,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,88,BULLDOG INGLÊS,N,,,
2,FELINA,FELINA,FELINA,,,FELINE,OU,211,BURMES,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,402,BURRILE,N,,,
1,CANINA,CANINA,CANINA,,,CANINE,OU,119,CAIRN TERRIER,N,,,
